######
#
# Tables des quantile, avec alpha en ligne et delta en colonne
#
# Paramètres de la simulation
#
# deltamin = 0.25
# multinvpasdelta = 2
# multdiscretisation = 10
# mindiscretisation = 1000
# alphamin = 0.01
# multinvpasalpha = 2
# alphamax = 0.5
# multtraj = 10
# mintraj = 10000
#
# Taillemaxbatch = 500000
#
# Ndiscretisation = 1040
# Ntraj = 10080
#
######
"0.875" "0.75" "0.625" "0.5" "0.375" "0.25"
"0.09" 2.12653882134982 2.36259215029382 2.56104056722955 2.74869583047383 2.94252483475523 3.1735745403832
"0.085" 2.15821407616348 2.3900674022037 2.58318010201092 2.77425004846377 2.96394371574103 3.19959239409398
"0.08" 2.18900580457625 2.41292404505251 2.61404980136215 2.79894673206366 2.98906558763854 3.2238260094223
"0.075" 2.21924574251555 2.44112003913859 2.64515731742102 2.81952089652204 3.01775350613112 3.24653250858303
"0.07" 2.25086976146672 2.47201228131889 2.67001422960834 2.84882359814047 3.04829243600171 3.27253343068518
"0.065" 2.28538257518478 2.51059778695481 2.70310794494723 2.87744862527899 3.08219335339101 3.29900629994249
"0.06" 2.32224826850146 2.54330769097585 2.73912936696493 2.91284686948017 3.10195151771141 3.33020091586206
"0.055" 2.35076859345094 2.57556264414318 2.76974792189244 2.94374589996577 3.13303209086281 3.36168447699384
"0.05" 2.39843219717048 2.61483159116252 2.79922158484895 2.97327744076939 3.17881397233963 3.39258348366145
"0.045" 2.44941474444055 2.65797020369962 2.84375112649306 3.01675612972075 3.22402841586642 3.43819362123596
"0.04" 2.4959871310181 2.71726197124374 2.88947030381169 3.05730654586091 3.26140878205184 3.47963441809929
"0.035" 2.55572668180234 2.76511814758245 2.93902796950946 3.11453765080512 3.31127552664472 3.52622495018614
"0.03" 2.60037301868754 2.81843079259321 2.98711978647738 3.17296633779602 3.3621301703355 3.57106379126848
"0.025" 2.66655738209772 2.89824546847482 3.05276267632811 3.24767919238699 3.42463956839035 3.63497066178783
"0.02" 2.74403017914098 2.97377944618831 3.14764194453627 3.31879925921359 3.50017508130529 3.71813615056216
"0.015" 2.85453353718539 3.07859021110908 3.23620773844836 3.38484718021108 3.59217346640663 3.80882697641551
